Axial Freqs, Avg. Fidelities
5.199000000000000288e-01,9.984682470167225432e-01
5.218000000000000416e-01,9.984684582202971725e-01
5.237000000000000544e-01,9.984686165501378552e-01
5.255999999999999561e-01,9.984686779494685860e-01
5.274999999999999689e-01,9.984686612773480130e-01
5.293999999999999817e-01,9.984686087365298723e-01
5.312999999999999945e-01,9.984685525335491585e-01
5.332000000000000073e-01,9.984685225663275654e-01
5.351000000000000201e-01,9.984685413855668434e-01
5.370000000000000329e-01,9.984685866420792699e-01
5.389000000000000457e-01,9.984686081085604181e-01
5.408000000000000584e-01,9.984686139982672515e-01
5.426999999999999602e-01,9.984686655584836812e-01
5.445999999999999730e-01,9.984687329503582065e-01
5.464999999999999858e-01,9.984686610066800805e-01
5.483999999999999986e-01,9.984683929464436281e-01
5.503000000000000114e-01,9.984681518592598559e-01
5.522000000000000242e-01,9.984682388996772850e-01
5.541000000000000369e-01,9.984686618222139431e-01
5.560000000000000497e-01,9.984691145919791788e-01
5.578999999999999515e-01,9.984693402041235899e-01
5.597999999999999643e-01,9.984693667557902330e-01
5.616999999999999771e-01,9.984693498721792793e-01
5.635999999999999899e-01,9.984693344891892863e-01
5.655000000000000027e-01,9.984692652938808033e-01
5.674000000000000155e-01,9.984691306972436342e-01
5.693000000000000282e-01,9.984689805269614249e-01
5.712000000000000410e-01,9.984688413641267246e-01
5.731000000000000538e-01,9.984687039400966801e-01
5.749999999999999556e-01,9.984685787727878292e-01
5.768999999999999684e-01,9.984685033876470328e-01
5.787999999999999812e-01,9.984684996338817342e-01
5.806999999999999940e-01,9.984685592704600765e-01
5.826000000000000068e-01,9.984686656773593683e-01
5.845000000000000195e-01,9.984688038833162693e-01
5.864000000000000323e-01,9.984689537252823266e-01
5.883000000000000451e-01,9.984690931706872163e-01
5.902000000000000579e-01,9.984692053958932334e-01
5.920999999999999597e-01,9.984692742486623862e-01
5.939999999999999725e-01,9.984692833904699194e-01
5.958999999999999853e-01,9.984692260335362723e-01
5.977999999999999980e-01,9.984691072901554776e-01
5.997000000000000108e-01,9.984689361524217155e-01
6.016000000000000236e-01,9.984687230020861115e-01
6.034999999999999254e-01,9.984684851779178638e-01
6.053999999999999382e-01,9.984682460740229581e-01
6.072999999999999510e-01,9.984680256033341417e-01
6.091999999999999638e-01,9.984678373619916281e-01
6.110999999999999766e-01,9.984676930279491325e-01
6.129999999999999893e-01,9.984676009622491799e-01
6.149000000000000021e-01,9.984675624838613706e-01
6.168000000000000149e-01,9.984675744261064523e-01
6.187000000000000277e-01,9.984676324101841027e-01
6.205999999999999295e-01,9.984677296066949426e-01
6.224999999999999423e-01,9.984678554893222646e-01
6.243999999999999551e-01,9.984679987084955632e-01
6.262999999999999678e-01,9.984681499478355038e-01
6.281999999999999806e-01,9.984683006394939886e-01
6.300999999999999934e-01,9.984684431315358211e-01
6.320000000000000062e-01,9.984685739605422272e-01
6.339000000000000190e-01,9.984686924586375634e-01
6.358000000000000318e-01,9.984687967055951852e-01
6.376999999999999336e-01,9.984688851475042037e-01
6.395999999999999464e-01,9.984689607144906498e-01
6.414999999999999591e-01,9.984690299033799343e-01
6.433999999999999719e-01,9.984690976638198601e-01
6.452999999999999847e-01,9.984691652468017375e-01
6.471999999999999975e-01,9.984692331396006759e-01
6.491000000000000103e-01,9.984693026819834172e-01
6.510000000000000231e-01,9.984693742674020100e-01
6.528999999999999249e-01,9.984694461718350844e-01
6.547999999999999376e-01,9.984695143608254275e-01
6.566999999999999504e-01,9.984695735963472485e-01
6.585999999999999632e-01,9.984696206477946534e-01
6.604999999999999760e-01,9.984696554018078762e-01
6.623999999999999888e-01,9.984696781843079849e-01
6.643000000000000016e-01,9.984696880942397490e-01
6.662000000000000144e-01,9.984696856975162627e-01
6.681000000000000272e-01,9.984696762224313238e-01
6.699999999999999289e-01,9.984696665760290912e-01
6.718999999999999417e-01,9.984696594306221584e-01
6.737999999999999545e-01,9.984696539325526032e-01
6.756999999999999673e-01,9.984696506961955320e-01
6.775999999999999801e-01,9.984696518873129589e-01
6.794999999999999929e-01,9.984696567346719176e-01
6.814000000000000057e-01,9.984696599317056664e-01
6.833000000000000185e-01,9.984696566362614156e-01
6.852000000000000313e-01,9.984696479673033087e-01
6.870999999999999330e-01,9.984696384815167081e-01
6.889999999999999458e-01,9.984696289551936443e-01
6.908999999999999586e-01,9.984696157090544588e-01
6.927999999999999714e-01,9.984695994845326217e-01
6.946999999999999842e-01,9.984695919226300731e-01
6.965999999999999970e-01,9.984696049323981137e-01
6.985000000000000098e-01,9.984696317132483179e-01
7.004000000000000226e-01,9.984696490104473243e-01
7.022999999999999243e-01,9.984696462244789794e-01
7.041999999999999371e-01,9.984696435092903499e-01
7.060999999999999499e-01,9.984696622194468851e-01
7.079999999999999627e-01,9.984696699960210475e-01
7.098999999999999755e-01,9.984695731664615659e-01
7.117999999999999883e-01,9.984692931564134177e-01
7.137000000000000011e-01,9.984688652583021407e-01
7.156000000000000139e-01,9.984684521717172023e-01
7.175000000000000266e-01,9.984682357476811765e-01
7.193999999999999284e-01,9.984682758438395700e-01
7.212999999999999412e-01,9.984684704436447289e-01
7.231999999999999540e-01,9.984686538815186196e-01
7.250999999999999668e-01,9.984687325981047579e-01
7.269999999999999796e-01,9.984687314018048099e-01
7.288999999999999924e-01,9.984687280637288831e-01
7.308000000000000052e-01,9.984687669702886348e-01
7.327000000000000179e-01,9.984688402279923158e-01
7.346000000000000307e-01,9.984689271987217118e-01
7.364999999999999325e-01,9.984690199375213515e-01
7.383999999999999453e-01,9.984690990580865622e-01
7.402999999999999581e-01,9.984691025812054699e-01
7.421999999999999709e-01,9.984689500620463898e-01
7.440999999999999837e-01,9.984686186159378307e-01
7.459999999999999964e-01,9.984681963897527046e-01
7.479000000000000092e-01,9.984678501064944145e-01
7.498000000000000220e-01,9.984677236789861743e-01
7.516999999999999238e-01,9.984678493073709804e-01
7.535999999999999366e-01,9.984681389056762058e-01
7.554999999999999494e-01,9.984684527245327734e-01
7.573999999999999622e-01,9.984686868203448418e-01
7.592999999999999750e-01,9.984688200748540465e-01
7.611999999999999877e-01,9.984688993283480363e-01
7.631000000000000005e-01,9.984689858831190534e-01
7.650000000000000133e-01,9.984691074733187399e-01
7.669000000000000261e-01,9.984692468613274308e-01
7.687999999999999279e-01,9.984693670400756060e-01
7.706999999999999407e-01,9.984694457608883633e-01
7.725999999999999535e-01,9.984694895186856378e-01
7.744999999999999662e-01,9.984695202980299333e-01
7.763999999999999790e-01,9.984695529311012896e-01
7.782999999999999918e-01,9.984695859526669937e-01
7.802000000000000046e-01,9.984696113777520310e-01
7.821000000000000174e-01,9.984696271024487979e-01
7.840000000000000302e-01,9.984696361118472474e-01
7.858999999999999320e-01,9.984696357692319779e-01
7.877999999999999448e-01,9.984696117163328610e-01
7.896999999999999575e-01,9.984695440111189813e-01
7.915999999999999703e-01,9.984694185702630564e-01
7.934999999999999831e-01,9.984692326561556142e-01
7.953999999999999959e-01,9.984689926902626800e-01
7.973000000000000087e-01,9.984687104244555078e-01
7.992000000000000215e-01,9.984684022526653102e-01
8.010999999999999233e-01,9.984680911072650877e-01
8.029999999999999361e-01,9.984678058885069207e-01
8.048999999999999488e-01,9.984675759165209108e-01
8.067999999999999616e-01,9.984674240128056377e-01
8.086999999999999744e-01,9.984673622306136087e-01
8.105999999999999872e-01,9.984673911330452789e-01
8.125000000000000000e-01,9.984675012092271151e-01
8.144000000000000128e-01,9.984676746873831776e-01
8.163000000000000256e-01,9.984678878395882862e-01
8.181999999999999273e-01,9.984681138228861386e-01
8.200999999999999401e-01,9.984683254911876915e-01
8.219999999999999529e-01,9.984684990875916100e-01
8.238999999999999657e-01,9.984686183826628758e-01
8.257999999999999785e-01,9.984686765811806586e-01
8.276999999999999913e-01,9.984686751244482572e-01
8.296000000000000041e-01,9.984686209503165211e-01
8.315000000000000169e-01,9.984685245837555678e-01
8.334000000000000297e-01,9.984683998334533683e-01
8.352999999999999314e-01,9.984682629609845650e-01
8.371999999999999442e-01,9.984681301008100363e-01
8.390999999999999570e-01,9.984680143517344897e-01
8.409999999999999698e-01,9.984679243632933465e-01
8.428999999999999826e-01,9.984678655793722823e-01
8.447999999999999954e-01,9.984678426021994513e-01
8.467000000000000082e-01,9.984678594628156878e-01
8.486000000000000210e-01,9.984679178779143349e-01
8.504999999999999227e-01,9.984680160826379103e-01
8.523999999999999355e-01,9.984681494419520575e-01
8.542999999999999483e-01,9.984683117974929578e-01
8.561999999999999611e-01,9.984684956072972239e-01
8.580999999999999739e-01,9.984686912457479968e-01
8.599999999999999867e-01,9.984688875467769842e-01
8.618999999999999995e-01,9.984690735281720464e-01
8.638000000000000123e-01,9.984692400898950160e-01
8.657000000000000250e-01,9.984693810444157380e-01
8.675999999999999268e-01,9.984694930491020415e-01
8.694999999999999396e-01,9.984695751774793626e-01
8.713999999999999524e-01,9.984696289464487506e-01
8.732999999999999652e-01,9.984696583473970932e-01
8.751999999999999780e-01,9.984696694182416676e-01
8.770999999999999908e-01,9.984696690903996918e-01
8.790000000000000036e-01,9.984696636604893927e-01
8.809000000000000163e-01,9.984696578250931154e-01
8.828000000000000291e-01,9.984696541189791441e-01
8.846999999999999309e-01,9.984696527084507833e-01
8.865999999999999437e-01,9.984696522233962312e-01
8.884999999999999565e-01,9.984696509856605395e-01
8.903999999999999693e-01,9.984696477137964266e-01
8.922999999999999821e-01,9.984696418225657011e-01
8.941999999999999948e-01,9.984696336067839795e-01
8.961000000000000076e-01,9.984696244725430603e-01
8.980000000000000204e-01,9.984696166295911057e-01
8.998999999999999222e-01,9.984696118955459498e-01
9.017999999999999350e-01,9.984696108961920169e-01
9.036999999999999478e-01,9.984696133696218112e-01
9.055999999999999606e-01,9.984696189410667833e-01
9.074999999999999734e-01,9.984696277287919974e-01
