Initial State,Final State,Path,Effective Pi-Time
"[2, -2]","[1, -1]","['[2, -2]', '-2', '[1, -1]']",267.87954382150986
"[2, -2]","[3, -1]","['[2, -2]', '-1', '[3, -1]']",144.4558932539911
"[2, -2]","[3, 1]","['[2, -2]', '0', '[3, 1]']",127.14854539020963
"[2, -2]","[4, -1]","['[2, -2]', '0', '[4, -1]']",135.39631260536024
"[2, -2]","[2, 1]","['[2, -2]', '-1', '[2, 1]']",215.31052199698956
"[2, -2]","[4, -2]","['[2, -2]', '0', '[4, -2]']",113.23956867695853
"[2, -2]","[4, -4]","['[2, -2]', '-2', '[4, -4]']",117.44797267941887
"[2, -2]","[1, 0]","['[2, -2]', '-2', '[1, 0]']",293.04718387089
"[2, -2]","[4, 0]","['[2, -2]', '0', '[4, 0]']",152.89361134345418
"[2, -2]",0,"['[2, -2]', '0']",84.57781623558704
"[2, -2]",-1,"['[2, -2]', '-1']",99.12658354271196
"[2, -2]",-2,"['[2, -2]', '-2']",96.44977267941887
"[2, -2]",1,"['[2, -2]', '0', '[4, -1]', '1']",176.02276257733723
"[3, 3]","[1, 1]","['[3, 3]', '1', '[1, 1]']",258.0724544843863
"[2, -2]","[4, -3]","['[2, -2]', '-1', '[4, -3]']",123.17930237720745
"[3, 3]","[1, -1]","['[3, 3]', '1', '[1, -1]']",246.3891376097178
"[2, -2]","[4, 1]","['[2, -2]', '0', '[4, 1]']",218.40606836153603
"[2, -2]",2,"['[2, -2]', '0', '[4, 0]', '2']",228.11193777748127
"[3, 3]","[2, -1]","['[3, 3]', '1', '[2, -1]']",116.91715927032091
"[3, 3]","[2, 2]","['[3, 3]', '1', '[2, 2]']",138.20976300590996
"[3, 3]","[3, 2]","['[3, 3]', '1', '[3, 2]']",111.24021330019131
"[3, 3]","[3, 1]","['[3, 3]', '1', '[4, -1]', '0', '[3, 1]']",186.6004027748391
"[3, 3]","[1, 0]","['[3, 3]', '1', '[4, 2]', '2', '[1, 0]']",275.6533893951016
"[3, 3]","[3, -1]","['[3, 3]', '1', '[3, -1]']",229.18425946621824
"[2, 0]","[3, 3]","['[2, 0]', '2', '[4, 2]', '1', '[3, 3]']",226.59652316020168
"[3, 3]","[2, 1]","['[3, 3]', '1', '[2, 1]']",226.59405734476883
"[2, -2]","[4, 4]","['[2, -2]', '0', '[4, 0]', '2', '[4, 4]']",273.24583777748126
"[3, 3]","[4, 3]","['[3, 3]', '1', '[4, 2]', '2', '[4, 3]']",186.6684057392368
"[3, 3]","[4, 2]","['[3, 3]', '1', '[4, 2]']",107.20860573923679
"[3, 3]","[4, 1]","['[3, 3]', '1', '[4, 1]']",99.38039304383493
"[3, 3]","[2, -2]","['[3, 3]', '1', '[4, -1]', '0', '[2, -2]']",228.60748985580352
"[3, 3]","[2, 0]","['[3, 3]', '1', '[4, 2]', '2', '[2, 0]']",226.59652316020168
"[3, 3]","[3, 0]","['[3, 3]', '1', '[4, -1]', '0', '[3, 0]']",205.26379046260544
"[2, -2]","[4, 2]","['[2, -2]', '0', '[4, -1]', '1', '[4, 2]']",230.6466410381077
"[2, -2]","[4, 3]","['[2, -2]', '0', '[4, 0]', '2', '[4, 3]']",262.0186377774813
"[3, 3]",2,"['[3, 3]', '1', '[4, 2]', '2']",152.7617057392368
"[3, 3]",1,"['[3, 3]', '1']",52.5847272784663
"[3, 3]","[4, -1]","['[3, 3]', '1', '[4, -1]']",93.21117725044328
"[3, 3]","[4, 0]","['[3, 3]', '1', '[4, 0]']",102.99156388788164
"[2, -1]","[4, 4]","['[2, -1]', '1', '[4, 2]', '2', '[4, 4]']",209.6433104526251
"[3, 3]","[3, -2]","['[3, 3]', '1', '[2, -1]', '-2', '[3, -2]']",242.64387057537115
"[3, 3]",0,"['[3, 3]', '1', '[4, -1]', '0']",144.0296736202165
"[3, 2]","[1, -1]","['[3, 2]', '1', '[1, -1]']",252.45989635297653
