Initial State Final State                                Path  Effective Pi-Time
       [4, 2]     [4, -2]                [[4, 2], 0, [4, -2]]        7488.207828
       [4, 4]          -1             [[4, 4], 2, [2, 1], -1]         266.640943
      [4, -4]           0           [[4, -4], -2, [2, -2], 0]         207.132811
       [2, 0]      [4, 2]                 [[2, 0], 2, [4, 2]]         122.847414
       [2, 1]     [4, -4]  [[2, 1], -1, [3, -2], -2, [4, -4]]         243.444511
       [4, 2]     [4, -1]                [[4, 2], 1, [4, -1]]          99.708655
       [4, 4]           0              [[4, 4], 2, [4, 0], 0]         190.424302
      [4, -4]           1           [[4, -4], -2, [2, -1], 1]         171.015699
       [2, 0]      [4, 3]                 [[2, 0], 2, [4, 3]]         112.615414
       [2, 1]     [4, -3]               [[2, 1], -1, [4, -3]]         136.397891
       [4, 2]      [4, 0]                 [[4, 2], 1, [4, 0]]         110.279764
       [4, 4]           1              [[4, 4], 2, [4, 2], 1]         146.398538
      [4, -4]           2            [[4, -4], -2, [2, 0], 2]         244.552640
       [2, 0]      [4, 4]                 [[2, 0], 2, [4, 4]]         120.245414
       [2, 1]     [4, -2]               [[2, 1], -1, [4, -2]]         187.787557
       [4, 2]      [4, 1]                 [[4, 2], 1, [4, 1]]         104.415941
       [4, 4]           2                         [[4, 4], 2]          43.230000
      [4, -3]          -2          [[4, -3], -1, [3, -2], -2]         135.309205
       [2, 0]     [3, -3]               [[2, 0], -2, [3, -3]]         186.671226
       [2, 1]     [4, -1]                [[2, 1], 1, [4, -1]]         217.326244
       [4, 3]          -2             [[4, 3], 2, [2, 0], -2]         258.255640
       [1, 0]      [4, 0]                 [[1, 0], 2, [4, 0]]         206.621955
       [4, 4]     [4, -4]    [[4, 4], 2, [2, 0], -2, [4, -4]]         287.782640
      [4, -3]          -1                       [[4, -3], -1]          25.079792
       [2, 0]     [3, -2]               [[2, 0], -2, [3, -2]]         193.496933
       [2, 1]      [4, 0]                 [[2, 1], 2, [4, 0]]         190.539146
       [1, 0]     [4, -4]               [[1, 0], -2, [4, -4]]         210.088155
       [4, 3]          -1             [[4, 3], 2, [2, 1], -1]         259.010943
       [1, 0]      [3, 1]                 [[1, 0], 2, [3, 1]]         374.729645
       [4, 4]     [4, -3]    [[4, 4], 2, [2, 1], -1, [4, -3]]         291.720735
      [4, -3]           0            [[4, -3], -1, [3, 0], 0]         134.194472
       [2, 0]     [3, -1]               [[2, 0], -1, [3, -1]]         195.866377
       [2, 1]      [4, 1]                 [[2, 1], 2, [4, 1]]         184.294472
       [4, 3]           0              [[4, 3], 2, [2, 0], 0]         229.314957
       [4, 4]     [4, -2]     [[4, 4], 2, [2, 0], 0, [4, -2]]         266.840153
       [1, 0]      [4, 1]                 [[1, 0], 2, [4, 1]]         200.377282
      [4, -3]           1           [[4, -3], -1, [4, -1], 1]         248.306682
       [2, 0]      [3, 0]                 [[2, 0], 0, [3, 0]]         178.300278
       [2, 1]      [4, 2]                 [[2, 1], 2, [4, 2]]         157.924844
       [1, 0]      [3, 0]                 [[1, 0], 2, [3, 0]]         328.115392
      [1, -1]      [3, 2]                [[1, -1], 1, [3, 2]]         263.785866
       [4, 3]           1              [[4, 3], 2, [4, 2], 1]         138.768538
       [4, 4]     [4, -1]     [[4, 4], 2, [2, 0], 0, [4, -1]]         290.325093
       [1, 0]     [4, -3]  [[1, 0], -2, [3, -2], -1, [4, -3]]         323.500360
      [4, -3]           2            [[4, -3], -1, [2, 1], 2]         248.490735
       [2, 0]      [3, 1]                 [[2, 0], 0, [3, 1]]         161.387131
       [2, 1]      [4, 3]                 [[2, 1], 2, [4, 3]]         147.692844
       [4, 3]           2                         [[4, 3], 2]          35.600000
       [1, 0]     [4, -2]  [[1, 0], -2, [3, -2], -1, [4, -2]]         374.890025
       [4, 4]      [4, 0]                 [[4, 4], 2, [4, 0]]         121.676302
       [2, 0]      [3, 2]                 [[2, 0], 0, [3, 2]]         178.634831
       [2, 1]      [4, 4]                 [[2, 1], 2, [4, 4]]         155.322844
       [2, 2]      [2, 0]                 [[2, 2], 2, [2, 0]]         207.963986
       [4, 0]           0                         [[4, 0], 0]          68.748000
       [2, 2]      [2, 1]                 [[2, 2], 2, [2, 1]]         243.041415
       [4, 0]           1                         [[4, 0], 1]          52.943226
      [1, -1]          -2                       [[1, -1], -2]         180.015094
       [4, 0]           2                         [[4, 0], 2]          78.446302
      [1, -1]          -1                       [[1, -1], -1]         179.342609
       [4, 0]     [4, -4]   [[4, 0], 0, [2, -2], -2, [4, -4]]         275.880811
      [1, -1]           0                        [[1, -1], 0]         233.964000
