Initial State Final State                                          Path  Effective Pi-Time
      [3, -1]      [2, 2]                          [[3, -1], 1, [2, 2]]         262.224568
      [3, -1]     [2, -2]                        [[3, -1], -1, [2, -2]]         144.455893
      [3, -1]      [3, 2]                          [[3, -1], 0, [3, 2]]         200.143032
      [3, -1]      [3, 1]                         [[3, -1], -1, [3, 1]]         142.856512
       [3, 0]          -2                     [[3, 0], -1, [3, -2], -2]         152.208430
       [3, 0]      [4, 4]                           [[3, 0], 2, [4, 4]]         236.884305
      [3, -1]     [3, -3]                        [[3, -1], -2, [3, -3]]         105.556918
       [3, 1]     [4, -4]            [[3, 1], -1, [3, -2], -2, [4, -4]]         225.480058
      [3, -1]      [2, 1]                         [[3, -1], -1, [2, 1]]         161.513248
      [3, -1]      [4, 2]                          [[3, -1], 1, [4, 2]]         231.223411
      [3, -1]      [4, 3]              [[3, -1], -1, [2, 0], 2, [4, 3]]         296.105257
      [3, -1]      [4, 1]                          [[3, -1], 1, [4, 1]]         223.395198
      [3, -1]      [4, 0]                          [[3, -1], 0, [4, 0]]         203.800913
      [3, -1]     [4, -2]                        [[3, -1], -1, [4, -2]]         118.108247
      [3, -1]     [4, -1]                         [[3, -1], 0, [4, -1]]         186.303614
      [3, -1]     [4, -4]                        [[3, -1], -2, [4, -4]]          87.498018
      [3, -1]     [1, -1]                        [[3, -1], -1, [1, -1]]         223.554926
      [3, -1]           1                                  [[3, -1], 1]         176.599532
      [3, -1]           0                                  [[3, -1], 0]         135.485118
      [3, -1]          -1                                 [[3, -1], -1]          45.329310
      [3, -1]          -2                                 [[3, -1], -2]          66.499818
      [3, -1]           2                      [[3, -1], -1, [2, 0], 2]         262.198557
